Rk,Player,Pos,Age,Tm,G?,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
88,Alperen ?engün,C,19,HOU,71,1455,16.2,0.555,0.216,0.452,10.3,19,14.6,18.8,1.9,4.1,19,22.1,,0.8,1.3,2.1,0.07,,-1.6,0.6,-0.9,0.4
89,Obi Toppin,PF,23,NYK,71,1190,17.8,0.609,0.348,0.27,6,17.5,11.7,10.7,1.1,2.6,9.8,20.3,,2.3,1.4,3.6,0.147,,1.3,0.3,1.6,1.1
90,P.J. Tucker,PF,36,MIA,71,1981,11.3,0.593,0.451,0.143,5.8,16.2,11.1,10.6,1.5,0.8,12.7,11.7,,2.4,2.6,5,0.122,,-0.8,1.4,0.6,1.3
91,Mo Bamba,C,23,ORL,70,1796,16.2,0.577,0.449,0.116,8.5,24.6,16.5,7.4,1,5.9,10.8,17.2,,1.6,2.6,4.3,0.114,,-0.4,0.9,0.5,1.1
92,RJ Barrett,SF,21,NYK,70,2417,13.7,0.511,0.338,0.34,2.9,15.5,9.1,14.9,0.9,0.7,9.9,27.6,,0.1,2.2,2.3,0.045,,-0.3,-1.4,-1.7,0.2
93,Nemanja Bjelica,C,33,GSW,70,1120,14.1,0.573,0.437,0.239,5.9,21.6,14,19.4,1.7,2.2,18.3,17.9,,0.9,2,2.9,0.126,,-1,2.3,1.3,0.9
94,Robert Covington,PF-SF,31,TOT,70,1927,12.4,0.571,0.68,0.141,3.2,18.8,10.9,6.8,2.6,4.5,12.4,13.4,,0.8,2.3,3.2,0.079,,-1.6,1.7,0.1,1
95,Montrezl Harrell,C,28,TOT,70,1618,23.3,0.68,0.031,0.539,10,18.9,14.5,13.8,0.8,2.3,9.3,20.3,,6,1.2,7.2,0.215,,3.8,0.1,3.9,2.4
96,Cody Martin,SF,26,CHO,70,1842,12.6,0.579,0.376,0.248,4.5,11.8,8.1,12.4,2.2,1.6,11.4,12.1,,2.3,1.5,3.8,0.099,,-1.2,0.6,-0.6,0.7
97,Gary Payton II,PG,29,GSW,70,1230,17.8,0.676,0.353,0.171,6.4,15,10.8,7.8,3.8,1.7,9.9,14.4,,2.5,2.6,5.1,0.198,,0.2,3.5,3.7,1.8
98,Payton Pritchard,SG,24,BOS,70,986,14.6,0.576,0.658,0.052,3.4,10.7,7.1,20.2,1.2,0.6,9.9,18.5,,1.7,1.2,2.9,0.141,,1.5,0,1.6,0.9
99,Marcus Smart,PG,27,BOS,70,2270,13.8,0.543,0.501,0.252,2,10.5,6.4,25.7,2.6,0.7,16.6,18.4,,1.9,3.6,5.6,0.117,,-1.1,1.7,0.5,1.5
100,Isaiah Stewart,C,20,DET,70,1802,13.8,0.545,0.091,0.212,12.8,24.4,18.3,6.8,0.6,3.9,13.8,14.7,,1.5,1.8,3.3,0.088,,-2.6,-0.8,-3.4,-0.7
101,Devin Vassell,SF,21,SAS,70,1905,13.3,0.539,0.494,0.126,2.3,14.3,8.3,9.6,1.9,1.8,6.6,18.8,,1.3,2,3.3,0.083,,-0.5,0,-0.5,0.7
102,Lonnie Walker IV,SG,23,SAS,70,1612,12.4,0.512,0.462,0.194,1.2,10.7,5.9,13.4,1.3,1,7.9,23.6,,0.1,1.2,1.3,0.038,,-1.2,-1.3,-2.5,-0.2
103,Carmelo Anthony,PF,37,LAL,69,1793,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,,2.2,1.5,3.6,0.097,,0.3,-0.9,-0.5,0.7
104,Darius Bazley,PF,21,OKC,69,1924,12.6,0.515,0.414,0.262,3.7,19.8,11.7,7.7,1.5,3.4,11.1,18.3,,-0.5,2.3,1.8,0.046,,-2.1,0.3,-1.8,0.1
105,Bojan Bogdanovi?,PF,32,UTA,69,2131,15.7,0.599,0.504,0.28,3.1,11.8,7.6,8.7,0.8,0,10.2,23.7,,3.7,1.5,5.1,0.116,,1.6,-1.7,0,1.1
106,Jaxson Hayes,C,21,NOP,69,1381,18.7,0.685,0.14,0.474,8.9,16.4,12.5,4.7,1.1,3.8,10.1,16.4,,3.8,1.4,5.1,0.178,,0.6,-0.3,0.4,0.8
107,Luke Kennard,SG,25,LAC,69,1891,13.2,0.621,0.664,0.121,1.1,11.4,6.4,11.1,1.1,0.3,8.3,16.6,,2.8,1.6,4.4,0.111,,0.7,-0.3,0.5,1.2
108,Jonathan Kuminga,SF,19,GSW,69,1156,15,0.595,0.322,0.418,5.2,16.1,10.8,8.4,1.3,1.8,12.1,22.9,,1.1,1.7,2.9,0.12,,-1.4,-0.3,-1.7,0.1
109,Jaden McDaniels,PF,21,MIN,69,1785,10.3,0.553,0.453,0.128,4.5,13.3,8.8,6.1,1.4,2.8,11.4,15.3,,0.8,1.7,2.4,0.065,,-2.9,-0.1,-2.9,-0.4
110,Raul Neto,PG,29,WAS,69,1350,12.4,0.537,0.276,0.241,1.1,9.7,5.5,23.1,1.9,0.2,14.1,18.5,,0.7,0.8,1.5,0.052,,-2.5,-0.5,-3,-0.4
111,Chuma Okeke,PF,23,ORL,69,1720,12,0.498,0.639,0.116,2.9,18.1,10.5,10.2,2.7,2.2,8.7,16.3,,-0.3,2.4,2.1,0.059,,-1.7,1.5,-0.1,0.8
112,Taurean Prince,PF,27,MIN,69,1177,12.4,0.589,0.587,0.21,2.3,13.8,7.9,8.1,1.9,1.9,11.1,17,,1,1.2,2.2,0.09,,-1,0,-0.9,0.3
113,Gary Trent Jr.,SG,23,TOR,69,2417,14.8,0.546,0.506,0.191,1.1,7.8,4.3,8.7,2.5,0.8,5.7,21.8,,3.2,2.5,5.7,0.113,,0,0.3,0.3,1.4
114,Kyle Anderson,PF,28,MEM,68,1458,14.2,0.503,0.231,0.221,4.8,21.5,13,16.1,2.4,2.7,12.4,16.1,,0.9,2.5,3.4,0.111,,-1.1,2.1,1.1,1.1
115,Devin Booker,SG,25,PHO,68,2345,21.3,0.576,0.336,0.255,2.1,13.2,7.8,22.4,1.6,1,9.3,32,,4.4,3.3,7.7,0.157,,3.9,0.2,4.1,3.6
116,Amir Coffey,SG,24,LAC,68,1525,12.5,0.59,0.55,0.259,1.7,10.8,6.4,11.2,1.2,0.8,8,15.5,,2.1,1.4,3.4,0.108,,-0.6,0,-0.7,0.5
117,Joel Embiid,C,27,PHI,68,2297,31.2,0.616,0.188,0.602,7.2,31.1,19.3,23.6,1.7,3.9,11.3,37.2,,7.9,4.1,12.1,0.252,,7.2,1.9,9.2,6.5
118,Al Horford,C,35,BOS,68,1981,16.7,0.571,0.471,0.169,6,22.2,14.3,16.5,1.2,4.2,9.5,14.8,,3.7,3.8,7.4,0.181,,1.4,2.9,4.3,3.1
119,Bones Hyland,PG,21,DEN,68,1286,14.3,0.558,0.628,0.219,1.3,14.3,8,20.9,1.6,1.2,12.1,23.7,,1.1,1.3,2.4,0.089,,0.2,-0.7,-0.5,0.5
120,Tre Jones,PG,22,SAS,68,1127,14.8,0.542,0.142,0.276,2.7,11.7,7.2,26.8,1.7,0.5,11.1,15.6,,1.8,0.9,2.8,0.118,,-1,0.4,-0.6,0.4
121,Evan Mobley,PF,20,CLE,68,2308,15.9,0.549,0.113,0.304,6.9,19.7,13.4,11.7,1.2,4.3,12.5,20.3,,1.5,3.6,5.1,0.106,,-0.9,1.5,0.5,1.5
122,Landry Shamet,SG,24,PHO,68,1405,9.8,0.545,0.692,0.174,1.3,7.9,4.7,9.4,0.9,0.5,7.4,16.6,,1,1.4,2.4,0.081,,-1.1,-0.4,-1.5,0.2
123,Pascal Siakam,PF,27,TOR,68,2578,20.3,0.565,0.181,0.314,5.1,20.1,12.2,22.9,1.6,1.6,11.6,25.8,,4.9,3.2,8.2,0.152,,2.8,0.8,3.5,3.6
124,Max Strus,SF,25,MIA,68,1587,12.7,0.614,0.784,0.094,1.8,12.5,7.2,8.8,0.9,1.1,8.8,18.1,,2,1.7,3.7,0.111,,1.4,-0.4,0.9,1.2
125,Christian Wood,C,26,HOU,68,2094,19.1,0.595,0.383,0.378,5.7,30.4,18,12.2,1.2,2.8,11,23.3,,3,2,4.9,0.113,,2.1,-0.4,1.6,1.9
126,Giannis Antetokounmpo,PF,27,MIL,67,2204,32.1,0.633,0.194,0.615,6.6,30.3,18.7,31.7,1.6,4,12.2,34.9,,9.3,3.8,13,0.284,,7.6,3.5,11.2,7.4
127,Reggie Bullock,SF,30,DAL,67,1875,9.4,0.561,0.786,0.095,1.9,12.2,7,6.1,1.1,0.7,7,13.3,,1.2,2,3.2,0.082,,-1.4,0,-1.3,0.3
128,Jae Crowder,PF,31,PHO,67,1886,11.3,0.541,0.671,0.165,1.8,17.9,10.1,8.3,2.4,1.4,8.6,14.6,,0.9,3.4,4.3,0.11,,-1.3,2.4,1.1,1.5
