Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
96,Bison Dele,C,26,LAC,65,2157,17,0.582,0.008,0.349,8.2,19.5,13.7,9.4,1.7,1.9,17.7,22.2,,2.1,1.9,4,0.09,,-0.2,-0.4,-0.6,0.8
97,Dell Demps,SG,25,SAS,16,87,17.1,0.655,0.061,0.515,2.7,8.6,5.8,15.9,1.8,0.8,22.9,27.1,,0.1,0.1,0.2,0.105,,-2,0.2,-1.8,0
98,Vlade Divac*,C,27,LAL,79,2470,17.4,0.544,0.022,0.366,9.5,22.2,16,16.3,1.6,3.7,17.5,20.6,,2.2,4,6.1,0.119,,-0.2,1.6,1.4,2.1
99,Sherman Douglas,PG,29,TOT,79,2335,14.6,0.57,0.161,0.32,2.8,6.6,4.7,30,1.4,0.2,19.9,19,,2.9,0.4,3.3,0.068,,0.8,-1.9,-1.1,0.5
99,Sherman Douglas,PG,29,BOS,10,234,9.3,0.482,0.083,0.476,2.8,8.3,5.5,26,0.4,0,22.2,24,,-0.3,0,-0.3,-0.053,,-3.2,-3.6,-6.8,-0.3
99,Sherman Douglas,PG,29,MIL,69,2101,15.2,0.583,0.171,0.298,2.8,6.4,4.6,30.4,1.5,0.2,19.5,18.4,,3.2,0.4,3.5,0.081,,1.2,-1.7,-0.5,0.8
100,Clyde Drexler*,SG,33,HOU,52,1997,20,0.551,0.308,0.442,5.6,15.3,10.6,24.7,2.7,0.9,12.8,23.6,,4.1,2.6,6.7,0.161,,2.8,1.2,4,3
101,Kevin Duckworth,C,31,MIL,8,58,-2.7,0.27,0,0.429,4.2,10.8,7.4,4.8,1.8,0,10.7,14.7,,-0.2,0,-0.1,-0.11,,-13.2,-2.1,-15.3,-0.2
102,Chris Dudley,C,30,POR,80,1924,12.2,0.473,0.003,0.439,14.2,28.4,21.3,2.8,1.1,3.9,15.6,11.5,,0.6,4,4.7,0.117,,-2.7,1.5,-1.3,0.4
103,Joe Dumars*,PG,32,DET,67,2193,13.7,0.579,0.498,0.329,1.6,5.8,3.8,20.4,1.1,0.1,12.4,17,,4.3,1.7,6,0.131,,1.7,-0.5,1.1,1.7
104,Richard Dumas,PF,26,PHI,39,739,11.3,0.515,0.044,0.345,6.4,9.2,7.7,10.3,3,0.6,17.3,17.1,,0,0.4,0.3,0.021,,-3.1,0.2,-2.9,-0.2
105,Tony Dumas,SG,23,DAL,67,1284,15.2,0.505,0.316,0.392,4.4,5.1,4.7,13.5,1.6,0.7,9.1,27.4,,1.2,0.4,1.6,0.06,,0.3,-1.9,-1.6,0.1
106,Ledell Eackles,SG,29,WSB,55,1238,12.5,0.553,0.34,0.313,4.3,9.7,7,10.2,1.2,0.2,11.7,17.6,,1.6,0.8,2.4,0.094,,0.3,-1,-0.7,0.4
107,Acie Earl,C,25,TOR,42,655,14.1,0.484,0.011,0.413,9.2,14.3,11.7,6.9,1.4,4.3,13.1,25.2,,-0.1,0.4,0.3,0.02,,-3.1,-2,-5.1,-0.5
108,Tyus Edney,PG,22,SAC,80,2481,12.7,0.505,0.195,0.341,2.9,6.5,4.7,31.5,1.8,0.1,18.4,18.5,,2,1.2,3.3,0.064,,-0.5,-1.3,-1.8,0.1
109,Blue Edwards,SF,30,VAN,82,2773,11.9,0.498,0.256,0.218,4,10.9,7.3,13.8,2.2,1.3,14,20,,-0.7,2.5,1.9,0.032,,-2,0,-1.9,0.1
