Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
204,Marlon Redmond,SG,23,KCK,49,,15,3.3,7.7,0.432,,,,3.3,7.7,0.432,0.432,0.6,1,0.62,1.2,1,2.2,1.2,0.6,0.3,1.1,1.9,7.2
204,Marlon Redmond,SG,23,PHI,4,,5.8,0.3,3,0.083,,,,0.3,3,0.083,0.083,0,0,,0,0.3,0.3,0.3,0,0,0.3,0.8,0.5
205,Robert Reid,SF,23,HOU,82,,27.5,4.7,9.5,0.492,,,,4.7,9.5,0.492,0.492,1.6,2.3,0.704,1.6,4.3,5.9,2.8,0.9,0.6,1.6,3.7,10.9
206,Kevin Restani,PF,27,MIL,81,,19.7,3.2,6.5,0.495,,,,3.2,6.5,0.495,0.495,0.6,0.9,0.699,1.7,3,4.8,1.5,0.4,0.3,1.2,1.9,7.1
207,Micheal Ray Richardson,PG,23,NYK,72,,16.9,2.8,6.7,0.414,,,,2.8,6.7,0.414,0.414,1,1.8,0.539,1.1,2.2,3.2,3,1.4,0.3,2,2.6,6.5
208,Anthony Roberts,SF,23,DEN,63,,19.6,3.3,7.9,0.424,,,,3.3,7.9,0.424,0.424,1.2,1.7,0.691,1.7,2.4,4.1,1.7,0.3,0,1,2.3,7.9
209,Tony Robertson,SG,23,GSW,12,,6.2,1.3,3.3,0.375,,,,1.3,3.3,0.375,0.375,0.5,0.8,0.667,0.5,0.3,0.8,0.3,0.7,0,0.7,0.8,3
210,Rick Robey,C,23,TOT,79,,22.3,4.1,8.5,0.478,,,,4.1,8.5,0.478,0.478,2.2,2.8,0.777,2.1,4.4,6.5,1.7,0.6,0.2,2.1,2.9,10.4
210,Rick Robey,C,23,IND,43,,19.7,3.3,6.9,0.475,,,,3.3,6.9,0.475,0.475,2.1,2.8,0.744,1.9,4,5.9,1.2,0.6,0.3,2.1,2.6,8.6
210,Rick Robey,C,23,BOS,36,,25.4,5.1,10.5,0.481,,,,5.1,10.5,0.481,0.481,2.3,2.9,0.816,2.4,4.8,7.2,2.2,0.6,0.1,2.1,3.4,12.4
211,Jackie Robinson,SF,23,SEA,12,,8.8,1.6,3.4,0.463,,,,1.6,3.4,0.463,0.463,0.7,1.3,0.533,0.8,0.8,1.6,1.1,0.4,0.1,0.9,0.8,3.8
212,Truck Robinson,PF,27,TOT,69,,36.8,8.2,16.7,0.491,,,,8.2,16.7,0.491,0.491,4.7,6.7,0.701,2.8,8.8,11.6,1.6,0.7,1.1,3.4,3,21.1
212,Truck Robinson,PF,27,NOJ,43,,41.4,9.2,19,0.485,,,,9.2,19,0.485,0.485,5.7,7.9,0.723,3.2,10.2,13.4,1.7,0.7,1.5,3.3,3,24.2
212,Truck Robinson,PF,27,PHO,26,,29.1,6.5,12.8,0.508,,,,6.5,12.8,0.508,0.508,3,4.7,0.642,2.2,6.5,8.7,1.5,0.7,0.5,3.5,2.9,16
213,Bill Robinzine,PF,26,KCK,82,,26.6,5.6,10.2,0.548,,,,5.6,10.2,0.548,0.548,2.2,3,0.732,2.7,5.1,7.8,1.3,1.3,0.2,2.2,4.5,13.4
214,Dave Robisch,C,29,LAL,80,,15.2,1.9,4.2,0.446,,,,1.9,4.2,0.446,0.446,1.1,1.4,0.748,1,2.5,3.6,1.2,0.3,0.3,0.7,1.4,4.8
215,Tree Rollins,C,23,ATL,81,,23.5,3.7,6.9,0.535,,,,3.7,6.9,0.535,0.535,1.1,1.7,0.631,2.7,4.6,7.3,0.6,0.6,3.1,1.1,4,8.4
216,Dan Roundfield,PF,25,ATL,80,,31.7,5.8,11.5,0.504,,,,5.8,11.5,0.504,0.504,3.8,5.3,0.714,4.1,6.7,10.8,1.6,1.1,2.2,2.6,4.5,15.3
217,Curtis Rowe,PF,29,BOS,53,,23.1,2.8,6.5,0.436,,,,2.8,6.5,0.436,0.436,1,1.4,0.693,1.5,3.1,4.6,1.3,0.3,0.2,1.7,2,6.7
218,John Rudd,SF,23,NYK,58,,12.5,1,2.3,0.444,,,,1,2.3,0.444,0.444,1.1,1.6,0.71,1.2,1.7,2.9,0.6,0.3,0.1,1,1.6,3.2
219,Campy Russell,SF,27,CLE,74,,38.6,8.1,17.1,0.476,,,,8.1,17.1,0.476,0.476,5.6,7.1,0.797,2,4.8,6.8,4.7,1.3,0.3,3.5,3,21.9
220,Frankie Sanders,SF,22,TOT,46,,10.4,2.3,5.3,0.427,,,,2.3,5.3,0.427,0.427,1.2,1.5,0.794,0.8,1.6,2.4,1.1,0.5,0.1,1.2,1.5,5.7
220,Frankie Sanders,SF,22,SAS,22,,12,2.3,5.8,0.394,,,,2.3,5.8,0.394,0.394,1.5,1.9,0.78,0.6,2.1,2.7,1.6,0.6,0.1,1.5,2,6
220,Frankie Sanders,SF,22,BOS,24,,9,2.3,5,0.462,,,,2.3,5,0.462,0.462,0.9,1.1,0.815,0.9,1.2,2.1,0.7,0.3,0.1,1,1,5.5
221,Alvin Scott,SF,23,PHO,81,,21.4,2.6,4.9,0.535,,,,2.6,4.9,0.535,0.535,1.5,2.1,0.714,1.3,3.2,4.4,1.6,1,0.8,1.2,1.7,6.7
222,Charlie Scott*,PG,30,DEN,79,,33.1,5,10.8,0.46,,,,5,10.8,0.46,0.46,2,2.7,0.749,0.7,2,2.7,5.4,1,0.4,3.2,3.6,12
