Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
161,Sedale Threatt,PG,23,PHI,82,0,15.9,2.3,5.1,0.452,0,0.3,0.182,2.2,4.8,0.467,0.457,0.8,1.1,0.733,0.3,1,1.2,2.1,1,0.2,1.2,2.1,5.4
162,Jon Sundvold,PG,23,SEA,73,1,15.8,2.3,5.5,0.425,0.2,0.5,0.316,2.2,5,0.436,0.44,0.7,0.8,0.814,0.2,0.7,1,2.8,0.5,0,1.2,1.2,5.5
163,Mike McGee,SF,25,LAL,76,3,15.4,4.3,8.1,0.538,0.3,0.8,0.361,4,7.3,0.557,0.556,1.2,2.1,0.588,1.3,0.9,2.2,0.9,0.5,0.1,1.1,1.9,10.2
164,Kevin Grevey,SF,31,MIL,78,6,15.2,2.4,5.4,0.448,0.1,0.4,0.242,2.3,5,0.465,0.458,1.1,1.4,0.822,0.3,1,1.3,1.2,0.4,0,0.7,1.1,6.1
165,Chuck Aleksinas,C,25,GSW,74,4,15.1,2.2,4.6,0.478,0,0,0,2.2,4.5,0.479,0.478,0.7,1,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1,2.3,5.1
166,Harvey Catchings,C,33,LAC,70,14,15,1,2.1,0.483,0,0,0,1,2.1,0.486,0.483,0.8,1.3,0.663,1.3,2.5,3.7,0.2,0.2,0.8,0.8,2.3,2.9
167,Scott Wedman,SF,32,BOS,78,5,14.4,2.8,5.9,0.478,0.2,0.4,0.5,2.6,5.5,0.477,0.497,0.5,0.7,0.764,0.7,1.3,2,1.2,0.3,0.1,0.6,1.4,6.4
168,Frank Brickowski,C,25,SEA,78,9,14.3,1.9,3.9,0.492,0,0.1,0,1.9,3.9,0.498,0.492,1.1,1.6,0.669,1,2.4,3.3,1.3,0.4,0.2,1.3,2.2,4.9
169,Audie Norris,C,24,POR,78,13,14.3,1.7,3.1,0.543,0,0,0,1.7,3.1,0.55,0.543,1.7,2.6,0.665,1.2,2.1,3.2,0.6,0.5,0.4,1.3,2.8,5.1
170,Joe Meriweather,C,31,KCK,76,4,14,1.6,3.2,0.498,0,0,0.5,1.6,3.2,0.498,0.5,1.3,1.6,0.774,1.2,2.2,3.5,0.4,0.2,0.4,0.7,2.4,4.5
171,Randy Breuer,C,24,MIL,78,0,13.9,2.1,4.1,0.511,0,0,,2.1,4.1,0.511,0.511,1.1,1.6,0.701,1.2,2.1,3.3,0.5,0.3,1.1,0.8,2.3,5.3
172,Rory White,PF,25,LAC,80,14,13.8,1.8,3.5,0.516,0,0,,1.8,3.5,0.516,0.516,1.1,1.6,0.692,1.2,1.3,2.4,0.4,0.4,0.3,1.1,1.4,4.7
173,Jerome Kersey,SF,22,POR,77,0,12.4,2.3,4.8,0.478,0,0,0,2.3,4.8,0.482,0.478,1.5,2.4,0.646,1.2,1.4,2.7,0.8,0.6,0.4,0.9,1.9,6.1
174,Quinn Buckner,PG,30,BOS,75,6,11.4,1,2.6,0.383,0,0,0,1,2.6,0.385,0.383,0.4,0.7,0.64,0.3,0.8,1.2,2,0.8,0,0.9,1.9,2.4
